userID,condition,Monster_Number,len1,len2,len3,len4,len5,all_initial_len,First_Rnd_to_Game_Result_Duration,Rnd1_Duration,Rnd2_Duration,Rnd3_Duration,Rnd4_Duration,Rnd5_Duration,Init_Choice1,Init_Reason1,Init_Choice2,Init_Reason2,Init_Choice3,Init_Reason3,Init_Choice4,Init_Reason4,Init_Choice5,Init_Reason5,Rnd1_Correct,Rnd2_Correct,Rnd3_Correct,Rnd4_Correct,Rnd5_Correct
ID-0611-104949AMIST-330607551,0,2,75,36,44,41,47,243,0:04:55,0:00:58,0:01:10,0:00:48,0:00:43,0:01:13,1,"""fruits are always low in fat. Theses fruits are good source of vitamin c.""",1,"""salad is always low in fat content""",1,"""banana is low in fat. cereal is also good.""",1,"""higher amount of salad is present here.""",1,"""this meal is full of vegetables. so lower fat""",1,1,1,1,1
ID-0611-111059amIST-584611746,0,3,19,17,16,56,59,167,0:02:41,0:00:47,0:00:47,0:00:20,0:00:27,0:00:18,2,"""it has more carbs""",2,"""it has chicken """,4,"""it has cheese """,4,"""it has cheese and mustard so i think it has more carbs""",1,"""it has chicken and meatballs so i think it has more carbs""",0,0,0,0,1
ID-0609-121243amGMT+05:30-911033927,0,4,25,32,28,41,37,163,0:05:54,0:02:30,0:01:21,0:00:55,0:00:35,0:00:31,1,"""The vegetable contains.""",1,"""The nuts are contains in this.""",3,"""The apple contain in this.""",2,"""Because the broccoli present this dish.""",1,"""Because the beans contains in this.""",1,1,0,0,1
ID-850716044-085459,0,3,23,26,19,18,26,112,0:01:44,0:00:26,0:00:24,0:00:23,0:00:16,0:00:14,3,"""it's have more energy""",1,"""it's have more nutrition""",2,"""it's very healthy""",1,"""have more energy""",3,"""it's have more nutrition""",0,1,0,1,0
ID-500495237-073714,0,1,12,20,12,23,9,76,0:04:19,0:00:38,0:00:35,0:01:18,0:00:56,0:00:50,3,"""less carbs""",1,"""it has least carbs""",1,"""less carbs""",2,"""lesser carbohydrates """,1,"""fresher""",0,1,1,0,1
ID-0608-021856PMEDT-720575577,0,3,57,46,38,41,29,211,0:04:46,0:01:28,0:01:40,0:00:36,0:00:38,0:00:21,4,"""I think the chicken and cheese are the healthiest carbs""",3,"""the cheese is high carb along with the bread""",2,"""both the yogurt and fruit have carbs""",4,"""the meat and cheese are higher in carbs""",1,"""pasta is very high in carbs""",0,0,0,0,1
ID-0611-081419AMIST-364645798,0,1,27,6,7,9,11,60,0:01:18,0:00:15,0:00:28,0:00:13,0:00:10,0:00:09,3,"""almonds grapes aand apple""",2,"""rice""",3,"""juice""",3,"""healthy""",3,"""spaghetti""",0,0,0,0,0
ID-149214751-070931,0,3,45,31,52,66,25,219,0:04:02,0:00:49,0:00:47,0:00:39,0:00:51,0:00:52,2,"""The French fries and bun are entirely carbs""",3,"""Pizza crust is entirely carbs""",1,"""These fruits contain a lot of sugar which is carbs""",1,"""The cereal is all carbs and the milk and banana contain some too""",1,"""pasta is entirely carbs""",0,0,1,1,1
ID-627687926-083627,0,4,8,8,8,8,11,43,0:01:47,0:00:20,0:00:32,0:00:16,0:00:22,0:00:15,3,"""i like""",1,"""i know""",4,"""i feel""",4,"""i know""",1,"""i feel it""",0,1,0,0,1
ID-790095198-092542,0,2,34,34,29,27,29,153,0:03:13,0:00:42,0:00:55,0:00:35,0:00:37,0:00:22,1,"""high in vitamin c and low in fat""",1,"""salad is low in calories and fat""",1,"""milk and banana are low fat""",1,"""chicken breast is low fat""",2,"""broccoli is good for health""",1,1,1,1,0
ID-852030110-100723,0,3,43,41,29,44,21,178,0:02:07,0:00:27,0:00:28,0:00:25,0:00:28,0:00:17,4,"""chicken breast have high amount of carbs.""",1,"""beans, salad have high amount of carbs.""",2,"""it gives more carbohydrates""",2,"""it gives more high amount of carbohydrates""",1,"""it gives more carbs""",0,1,0,0,1
ID-0610-112746pmGMT+05:30-139532053,0,4,33,25,26,31,34,149,0:03:33,0:00:56,0:00:54,0:00:39,0:00:28,0:00:35,1,"""Vegetables cantains more fibre.""",3,"""Fruits  has more fibre.""",1,"""Fruit has antioxidants. """,1,"""Vinegar reduces cholesterol. """,2,"""Vegetables  are always healthy. """,1,0,1,1,0
ID-0611-092555PMIST-735221034,0,1,20,52,54,16,22,164,0:06:59,0:02:19,0:02:03,0:00:54,0:00:58,0:00:43,3,"""this is confirmed """,1,"""no non vegetarian item and mostly green vegetables""",2,"""protein rich chicken and Sunflower seeds and carrots""",2,"""all vegetables""",1,"""this one is correct """,0,1,0,0,1
ID-38913428-091026,0,1,13,13,17,13,13,69,0:02:36,0:00:20,0:01:15,0:00:19,0:00:24,0:00:14,3,"""i like this""",3,"""i like this""",2,"""i like this one""",2,"""i like this""",1,"""i like this""",0,0,0,0,1
ID-0609-070015AMIST-654686807,0,4,17,17,17,17,17,85,0:03:08,0:00:47,0:00:32,0:00:31,0:00:40,0:06:43,2,"""higher in fiber""",4,"""higher in fibre""",1,"""higher in fiber""",1,"""higher in fiber""",1,"""higher in fibre""",0,0,1,1,1
ID-580654251-121757,0,3,31,28,23,20,26,128,0:07:04,0:02:28,0:00:33,0:00:56,0:00:48,0:02:17,2,"""this is universal not health """,3,"""this food is full of carbs""",4,"""eggs have more carbs """,4,"""this is not health""",4,"""burger is a good choice """,0,0,0,0,0
ID-0608-040436PMCDT-925539308,0,1,50,34,39,48,51,222,0:02:25,0:00:43,0:00:37,0:00:22,0:00:16,0:00:26,1,"""An ounce of cashews has roughly 8 grams of carbs""",1,"""Few carbs in provided vegetables""",1,"""Relatively few carbs in arugula salad""",1,"""Relatively low carbohydrate in a lettuce salad""",1,"""Relatively few carbs in the small number of fries""",1,1,1,1,1
ID-583171285-095445,0,2,33,62,63,47,94,299,0:04:08,0:01:09,0:00:33,0:00:52,0:00:47,0:00:46,1,"""Nuts and milk are high in fats.""",1,"""The other have meat, cheese, or eggs that are higher in fat.""",2,"""This is the only one that doesn't have bread or another carb.""",1,"""The other choices had fattier meats or sides.""",1,"""The other meals had components that made them higher in fat, like fattier meats, bread, etc.""",1,1,0,1,1
ID-0608-114914PMIST-752167907,0,3,51,54,66,43,23,237,0:03:59,0:01:03,0:00:55,0:00:31,0:00:47,0:00:40,2,"""i think this is the heaviest meal with most carbs""",3,"""i think pizza has the most carbs from the given list""",4,"""i think omlette has most amount of carbs and its also has cheese""",1,"""banana is very high in carbs so is cereal""",2,"""rice is high in carbs""",0,0,0,1,0
ID-648789065-113716,0,3,56,23,25,30,26,160,0:03:25,0:00:53,0:00:48,0:00:35,0:00:41,0:00:24,1,"""because pizza has mass, which is high on carbohydrates""",1,"""rice is high on carbs""",3,"""they have a lot of carb""",2,"""it's a high carb combination""",1,"""because of the spaghetti""",1,1,0,0,1
ID-0610-021807PMPDT-173972119,0,3,16,42,22,35,21,136,0:02:06,0:00:24,0:00:31,0:00:25,0:00:25,0:00:18,1,"""pizza is carbs""",1,"""rice, beans and plantains are high carbs""",2,"""fruit are high carbs""",1,"""cereal and bananas are high carbs""",1,"""pasta is high carbs""",1,1,0,1,1
ID-808715944-073924,0,1,8,8,8,8,8,40,0:01:19,0:00:14,0:00:14,0:00:12,0:00:28,0:00:10,3,"""i know""",1,"""i know""",1,"""i feel""",2,"""i feel""",3,"""i feel""",0,1,1,0,0
ID-0609-013332amIST-15840259,0,3,19,25,21,21,27,113,0:01:56,0:00:27,0:00:29,0:00:20,0:00:17,0:00:21,3,"""it has high fiber""",3,"""because it has calories""",3,"""it has high protain""",4,"""it has high protain""",3,"""it has high carbohydrates""",0,0,0,0,0
ID-0607-102434PMEDT-538158474,0,1,44,19,37,30,19,149,0:03:41,0:00:46,0:01:34,0:00:21,0:00:18,0:00:40,1,"""simpliest choice - how can nuts have carbs""",1,"""no bread, no rice""",1,"""does it have carbs? i dont think so""",1,"""rice and potatoes are higher""",1,"""others have bread""",1,1,1,1,1
ID-0608-031329PMEDT-607750466,0,1,17,17,35,38,37,144,0:04:20,0:01:02,0:01:05,0:00:25,0:00:46,0:02:56,2,"""Safe items only""",1,"""only safe items""",1,"""seems better than the other salad""",1,"""It seems like nothing would be high.""",1,"""Only the fries should be a problem.""",0,1,1,1,1
ID-931656709-021946,0,4,10,12,10,12,10,54,0:02:17,0:00:38,0:00:25,0:00:30,0:00:27,0:05:55,1,"""this one""",3,"""rich fiber""",2,"""rich one""",1,"""rich fiber""",2,"""this one""",1,0,0,1,0
ID-91439664-082450,0,4,25,31,30,32,58,176,0:06:10,0:01:02,0:02:19,0:00:55,0:01:03,0:00:49,4,"""spinach contains fibers""",3,"""I think oranges contain fiber""",1,"""I think pear has fiber in it""",1,"""It looks healthier than others""",1,"""it looks like it'll contain fibers. I am not sure though""",0,0,1,1,1
ID-0609-025849PMGMT+05:30-849775200,0,1,44,45,45,47,46,227,0:03:36,0:00:48,0:00:58,0:00:42,0:00:36,0:00:29,3,"""grapes are healthy with low carbohydrates """,1,"""cucumber is healthy with low carbohydrates """,1,"""carrots are healthy with low carbohydrates """,2,"""vegetables have low amount of carbohydrates. """,1,"""brocolli is meant to have low carbohydrates """,0,1,1,0,1
ID-769333586-111101,0,4,31,41,81,59,50,262,0:09:14,0:01:46,0:02:12,0:01:50,0:01:18,0:02:04,1,"""These veggies are high fiber.""",1,"""Chia, flax and nuts are all high fiber.""",1,"""Almonds have a lot of fiber and I think pears would have a good amount as well.""",1,"""Spinach has lots of fiber as do beans, seeds and carrots.""",1,"""Beans have a lot of fiber as do beets and salad.""",1,1,1,1,1
ID-0609-040207AMGMT+08:00-131341161,0,3,18,19,11,17,11,76,0:02:20,0:00:36,0:00:19,0:00:18,0:00:21,0:00:44,1,"""Bread and cheese""",1,"""Rice is high carb""",1,"""All carbs""",1,"""Grain and fruit""",1,"""Spaghetti""",1,1,1,1,1
ID-568485306-111251,0,1,30,39,58,76,37,240,0:02:22,0:00:34,0:00:33,0:00:24,0:00:21,0:00:28,1,"""this should be free of carbs""",2,"""I dont think anything here has carbs.""",1,"""the salad has no carbs and I think tuna is light on them""",2,"""I dont think vegetables have any carbs and this is almost pure vegetables """,2,"""nothing here should have any carbs.""",1,0,1,0,0
ID-444618943-101110,0,1,18,13,17,25,32,105,0:01:41,0:00:21,0:00:23,0:00:27,0:00:16,0:00:12,1,"""protein low carb""",1,"""no starches""",1,"""lots of veggies""",1,"""not a lot of sugar here""",2,"""only the rice really has carbs""",1,1,1,1,0
ID-0610-125017PMEDT-21032071,0,3,46,70,92,69,92,369,"-1 day, 12:09:01","-1 day, 23:57:54",0:00:48,0:00:37,0:00:40,0:00:36,2,"""the bread and fries are mostly made of carbs""",3,"""pizza is very dense and has a lot of carbs in the crust specifically""",2,"""I think the yogurt has some carbs in it, and none of the other choices seem very high carb""",2,"""the bread has a lot of carbs, and the other items have some as well""",1,"""the spaghetti is mostly made of carbs, and the vegetables might have a fair amount as well""",0,0,0,0,1
ID-0610-022327PMEDT-926203621,0,1,14,19,17,13,18,81,0:02:47,0:00:42,0:00:35,0:00:31,0:00:37,0:04:08,2,"""low calories""",4,"""looks low portion""",2,"""only egg whites""",2,"""all veggies""",1,"""only a few fries""",0,0,0,0,1
ID-0608-034842PMPDT-209701736,0,2,27,35,15,51,26,154,0:02:44,0:00:43,0:00:36,0:00:20,0:00:24,0:00:33,1,"""fruits have low or no fat""",1,"""the ingredients are low or no fat""",2,"""it is low fat""",4,"""it is relatively low fat which is the stated goal""",1,"""it is low in fat content""",1,1,0,0,1
ID-992203133-102322,0,3,50,49,73,80,45,297,0:02:33,0:00:31,0:00:36,0:00:27,0:00:28,0:00:29,2,"""Cheese, fried food and beef have a lot of carbs.""",1,"""I think the beef and beans have the most carbs.""",3,"""I believe nuts have high crabohydrates or at least are high in protein.""",2,"""I believe there are a lot of carbs in the eggs and ham as well as the oranges.""",1,"""I believe pasta has a high amount of carbs.""",0,1,0,0,1
ID-0611-074458AMEDT-629917063,0,4,30,37,50,56,41,214,0:03:10,0:01:18,0:00:49,0:00:22,0:00:23,0:00:17,3,"""It seems to avoid any fibers""",1,"""these food scene filled with fibers""",1,"""this seems like it would contain the most fibers""",1,"""it seems has the most natural healthy fiber type foods""",1,"""this has a decent amount of fiber in it""",0,1,1,1,1
ID-0610-123822PMPDT-400201528,0,2,37,26,23,39,34,159,0:06:15,0:01:05,0:00:46,0:02:03,0:00:39,0:01:40,1,"""its just fruit. Barely any calories""",1,"""basic light ingredients.""",2,"""the apples and grapes""",1,"""small portion. low fat chicken breast""",3,"""nothing id Fried it looks fresh.""",1,1,0,1,0
ID-392462964-083426,0,4,31,54,56,53,45,239,0:08:58,0:01:47,0:01:55,0:01:46,0:02:21,0:01:03,1,"""Vegetables are high in fiber.""",1,"""Flax meal, nuts and seeds are all good fiber sources""",1,"""Pears have massive amounts of insoluble fiber in them.""",1,"""Beans, seeds and carrots are all good fiber sources""",1,"""Beans and plantains are both high in fiber.""",1,1,1,1,1
ID-9840300-021711,0,2,38,32,20,21,16,127,0:02:40,0:00:25,0:00:39,0:00:35,0:00:30,0:00:29,4,"""think this is the lowest fat option """,1,"""looks to be lowest fat option """,2,"""lowest fat option """,1,"""lowest fat content """,1,"""seems  low fat""",0,1,0,1,1
ID-0906-013614AMIST-326512652,0,2,20,20,19,20,19,98,0:01:53,0:00:19,0:00:41,0:00:16,0:00:17,0:00:18,3,"""Because I feel it.""",3,"""because I feel it.""",1,"""Because I feel it""",1,"""Because I feel it.""",1,"""Because I feel it""",0,0,1,1,1
ID-0906-012615AMGMT+05:30-795300766,0,2,21,28,24,27,28,128,0:02:34,0:00:28,0:00:29,0:00:25,0:00:37,0:00:33,1,"""Fruits are low fat.""",1,"""Because these are veggies.""",2,"""Fruit contain low fat.""",3,"""broccoli contain low fat.""",1,"""because these are veggies.""",1,1,0,0,1
ID-0905-112338AMPDT-283217862,0,3,28,42,22,25,41,158,0:05:50,0:00:58,0:01:36,0:00:57,0:01:01,0:01:15,1,"""pizza is loaded with carbs""",1,"""rice and plantains are loaded with carbs""",1,"""fruits are high carb""",2,"""lots of fruit and bread""",1,"""pasta has more carbs than rice. I think""",1,1,1,0,1
ID-0906-072940amGMT+05:30-164589412,0,2,30,69,34,29,53,215,0:07:44,0:01:38,0:02:08,0:01:32,0:01:10,0:01:08,1,"""All fruits are have low fat.""",2,"""This salad has very low fat and the food has low carbohydrate also.""",2,"""This items contain very low fat.""",3,"""This items contain low fat.""",1,"""Other than shrimp all are veg and has very low fat.""",1,0,0,0,1
ID-0905-044836PMBRT-995172876,0,4,86,57,60,42,79,324,0:04:12,0:00:50,0:00:45,0:01:09,0:00:31,0:00:56,1,"""It has a lot of vegatables, I think it has a lot of fiber too, because of vegetables""",1,"""I know that chia seeds and flax meal has a lot of fiber""",1,"""This was Hard, I i think this is right because The almonds""",1,"""A lot of vegetables means a lot of fiber""",1,"""There is a lot of food, and i think it has more fiber in this than The others""",1,1,1,1,1
ID-0905-115241AMCDT-121930322,0,2,81,47,45,92,58,323,0:04:44,0:01:14,0:01:06,0:00:46,0:01:06,0:00:29,1,"""I chose this meal because the others consist of nuts and nuts have a lot of fat""",1,"""I don't believe this meal has much fat at all""",4,"""This meal shouldn't consist of too much fat""",1,"""This meal does not have much fat since it's just chicken and salad with tomato and cheese """,3,"""This meal has a little fat, but it should not have much """,1,1,0,1,0
ID-0906-054654AMIST-670401929,0,3,5,5,5,5,5,25,0:01:07,0:00:18,0:00:14,0:00:13,0:00:10,0:00:10,3,"""low""",4,"""low""",4,"""low""",1,"""low""",3,"""low""",0,0,0,1,0
ID-0905-123200PMCDT-851980180,0,1,6,4,4,4,4,22,0:01:28,0:00:16,0:00:25,0:00:16,0:00:15,0:00:14,3,"""good""",1,"""ok""",2,"""ok""",1,"""ok""",1,"""ok""",0,1,0,1,1
ID-0905-104903PMIST-893295653,0,4,30,16,16,35,19,116,0:01:28,0:00:29,0:00:19,0:00:15,0:00:11,0:00:13,3,"""its have chicken so i select""",3,"""its have fiber""",2,"""its have bread""",1,"""its have chicken so i select this""",1,"""its have many so """,0,0,0,1,1
ID-0906-055422AMIST-90297988,0,4,18,23,25,49,56,171,0:02:52,0:00:23,0:00:38,0:00:57,0:00:35,0:00:18,1,"""taste an healthy""",3,"""fruit is nature candy""",1,"""grapes,pear and almonds""",2,"""shrimp and chicken with broccoli and rice pilaf""",1,"""rice beans salad with Bert's beef and fried plaintains""",1,0,1,0,1
ID-0905-113301pmIST-940973412,0,2,13,16,21,11,23,84,0:03:02,0:00:48,0:00:28,0:00:34,0:00:33,"1 day, 0:12:53",4,"""Fresh fruit""",1,"""0 fat in these""",2,"""least amount of fat""",1,"""not fried""",1,"""no fat in these fooda""",0,1,0,1,1
ID-0906-120450PMGMT+05:30-124448,0,3,12,13,9,14,14,62,0:02:45,0:00:26,0:00:33,0:00:32,0:00:35,0:00:38,1,"""higher fat""",1,"""lot of corb""",1,"""low fat""",4,"""lot of carbs""",2,"""lot of carbs""",1,1,1,0,0
ID-0906-061741PMGMT+05:30-120536905,0,1,6,6,6,6,6,30,0:01:38,0:00:15,0:00:18,0:00:20,0:00:21,0:00:22,1,"""good""",1,"""good""",2,"""good""",4,"""good""",3,"""good""",1,1,0,0,0
ID-0906-064626PMGMT+05:30-706945637,0,2,9,9,9,9,9,45,0:01:15,0:00:12,0:00:13,0:00:16,0:00:10,0:00:22,1,"""low fat""",1,"""low fat""",1,"""low fat""",1,"""low fat""",3,"""low fat""",1,1,1,1,0
